angle	chord	FSV	SSD	pressure
0	0.3048	71.3	0.00266337	126.201
0	0.3048	71.3	0.00266337	125.201
0	0.3048	71.3	0.00266337	125.951
0	0.3048	71.3	0.00266337	127.591
0	0.3048	71.3	0.00266337	127.461
0	0.3048	71.3	0.00266337	125.571
0	0.3048	71.3	0.00266337	125.201
0	0.3048	71.3	0.00266337	123.061
0	0.3048	71.3	0.00266337	121.301
0	0.3048	71.3	0.00266337	119.541
0	0.3048	71.3	0.00266337	117.151
0	0.3048	71.3	0.00266337	115.391
0	0.3048	71.3	0.00266337	112.241
0	0.3048	71.3	0.00266337	108.721
0	0.3048	55.5	0.00283081	126.416
0	0.3048	55.5	0.00283081	127.696
0	0.3048	55.5	0.00283081	128.086
0	0.3048	55.5	0.00283081	126.966
0	0.3048	55.5	0.00283081	126.086
0	0.3048	55.5	0.00283081	126.986
0	0.3048	55.5	0.00283081	126.616
0	0.3048	55.5	0.00283081	124.106
0	0.3048	55.5	0.00283081	123.236
0	0.3048	55.5	0.00283081	121.106
0	0.3048	55.5	0.00283081	119.606
0	0.3048	55.5	0.00283081	117.976
0	0.3048	55.5	0.00283081	116.476
0	0.3048	55.5	0.00283081	113.076
0	0.3048	55.5	0.00283081	111.076
0	0.3048	39.6	0.00310138	118.129
0	0.3048	39.6	0.00310138	119.319
0	0.3048	39.6	0.00310138	122.779
0	0.3048	39.6	0.00310138	124.809
0	0.3048	39.6	0.00310138	126.959
0	0.3048	39.6	0.00310138	128.629
0	0.3048	39.6	0.00310138	129.099
0	0.3048	39.6	0.00310138	127.899
0	0.3048	39.6	0.00310138	125.499
0	0.3048	39.6	0.00310138	124.049
0	0.3048	39.6	0.00310138	123.689
0	0.3048	39.6	0.00310138	121.399
0	0.3048	39.6	0.00310138	120.319
0	0.3048	39.6	0.00310138	119.229
0	0.3048	39.6	0.00310138	117.789
0	0.3048	39.6	0.00310138	116.229
0	0.3048	39.6	0.00310138	114.779
0	0.3048	39.6	0.00310138	112.139
0	0.3048	39.6	0.00310138	109.619
0	0.3048	31.7	0.00331266	117.195
0	0.3048	31.7	0.00331266	118.595
0	0.3048	31.7	0.00331266	122.765
0	0.3048	31.7	0.00331266	125.045
0	0.3048	31.7	0.00331266	127.315
0	0.3048	31.7	0.00331266	129.095
0	0.3048	31.7	0.00331266	129.235
0	0.3048	31.7	0.00331266	127.365
0	0.3048	31.7	0.00331266	124.355
0	0.3048	31.7	0.00331266	122.365
0	0.3048	31.7	0.00331266	122.375
0	0.3048	31.7	0.00331266	120.755
0	0.3048	31.7	0.00331266	119.135
0	0.3048	31.7	0.00331266	118.145
0	0.3048	31.7	0.00331266	115.645
0	0.3048	31.7	0.00331266	113.775
0	0.3048	31.7	0.00331266	110.515
0	0.3048	31.7	0.00331266	108.265
1.5	0.3048	71.3	0.00336729	127.122
1.5	0.3048	71.3	0.00336729	125.992
1.5	0.3048	71.3	0.00336729	125.872
1.5	0.3048	71.3	0.00336729	126.632
1.5	0.3048	71.3	0.00336729	126.642
1.5	0.3048	71.3	0.00336729	124.512
1.5	0.3048	71.3	0.00336729	123.392
1.5	0.3048	71.3	0.00336729	121.762
1.5	0.3048	71.3	0.00336729	119.632
1.5	0.3048	71.3	0.00336729	118.122
1.5	0.3048	71.3	0.00336729	115.372
1.5	0.3048	71.3	0.00336729	113.492
1.5	0.3048	71.3	0.00336729	109.222
1.5	0.3048	71.3	0.00336729	106.582
1.5	0.3048	39.6	0.00392107	121.851
1.5	0.3048	39.6	0.00392107	124.001
1.5	0.3048	39.6	0.00392107	126.661
1.5	0.3048	39.6	0.00392107	128.311
1.5	0.3048	39.6	0.00392107	128.831
1.5	0.3048	39.6	0.00392107	127.581
1.5	0.3048	39.6	0.00392107	125.211
1.5	0.3048	39.6	0.00392107	122.211
1.5	0.3048	39.6	0.00392107	122.101
1.5	0.3048	39.6	0.00392107	120.981
1.5	0.3048	39.6	0.00392107	119.111
1.5	0.3048	39.6	0.00392107	117.741
1.5	0.3048	39.6	0.00392107	116.241
1.5	0.3048	39.6	0.00392107	114.751
1.5	0.3048	39.6	0.00392107	112.251
1.5	0.3048	39.6	0.00392107	108.991
1.5	0.3048	39.6	0.00392107	106.111
3	0.3048	71.3	0.00425727	127.564
3	0.3048	71.3	0.00425727	128.454
3	0.3048	71.3	0.00425727	129.354
3	0.3048	71.3	0.00425727	129.494
3	0.3048	71.3	0.00425727	129.004
3	0.3048	71.3	0.00425727	127.634
3	0.3048	71.3	0.00425727	126.514
3	0.3048	71.3	0.00425727	125.524
3	0.3048	71.3	0.00425727	124.024
3	0.3048	71.3	0.00425727	121.514
3	0.3048	71.3	0.00425727	120.264
3	0.3048	71.3	0.00425727	118.134
3	0.3048	71.3	0.00425727	116.134
3	0.3048	71.3	0.00425727	114.634
3	0.3048	71.3	0.00425727	110.224
3	0.3048	55.5	0.00452492	126.159
3	0.3048	55.5	0.00452492	128.179
3	0.3048	55.5	0.00452492	129.569
3	0.3048	55.5	0.00452492	129.949
3	0.3048	55.5	0.00452492	129.329
3	0.3048	55.5	0.00452492	127.329
3	0.3048	55.5	0.00452492	124.439
3	0.3048	55.5	0.00452492	123.069
3	0.3048	55.5	0.00452492	122.439
3	0.3048	55.5	0.00452492	120.189
3	0.3048	55.5	0.00452492	118.689
3	0.3048	55.5	0.00452492	117.309
3	0.3048	55.5	0.00452492	115.679
3	0.3048	55.5	0.00452492	113.799
3	0.3048	55.5	0.00452492	112.169
3	0.3048	39.6	0.00495741	123.312
3	0.3048	39.6	0.00495741	125.472
3	0.3048	39.6	0.00495741	127.632
3	0.3048	39.6	0.00495741	129.292
3	0.3048	39.6	0.00495741	129.552
3	0.3048	39.6	0.00495741	128.312
3	0.3048	39.6	0.00495741	125.802
3	0.3048	39.6	0.00495741	122.782
3	0.3048	39.6	0.00495741	120.532
3	0.3048	39.6	0.00495741	120.162
3	0.3048	39.6	0.00495741	118.922
3	0.3048	39.6	0.00495741	116.792
3	0.3048	39.6	0.00495741	115.792
3	0.3048	39.6	0.00495741	114.042
3	0.3048	39.6	0.00495741	110.652
3	0.3048	31.7	0.00529514	123.118
3	0.3048	31.7	0.00529514	125.398
3	0.3048	31.7	0.00529514	127.548
3	0.3048	31.7	0.00529514	128.698
3	0.3048	31.7	0.00529514	128.708
3	0.3048	31.7	0.00529514	126.838
3	0.3048	31.7	0.00529514	124.838
3	0.3048	31.7	0.00529514	122.088
3	0.3048	31.7	0.00529514	120.088
3	0.3048	31.7	0.00529514	119.598
3	0.3048	31.7	0.00529514	118.108
3	0.3048	31.7	0.00529514	115.608
3	0.3048	31.7	0.00529514	113.858
3	0.3048	31.7	0.00529514	109.718
4	0.3048	71.3	0.00497773	126.395
4	0.3048	71.3	0.00497773	128.175
4	0.3048	71.3	0.00497773	129.575
4	0.3048	71.3	0.00497773	130.715
4	0.3048	71.3	0.00497773	131.615
4	0.3048	71.3	0.00497773	131.755
4	0.3048	71.3	0.00497773	131.015
4	0.3048	71.3	0.00497773	129.395
4	0.3048	71.3	0.00497773	126.645
4	0.3048	71.3	0.00497773	124.395
4	0.3048	71.3	0.00497773	123.775
4	0.3048	71.3	0.00497773	121.775
4	0.3048	71.3	0.00497773	119.535
4	0.3048	71.3	0.00497773	117.785
4	0.3048	71.3	0.00497773	116.165
4	0.3048	71.3	0.00497773	113.665
4	0.3048	71.3	0.00497773	110.905
4	0.3048	71.3	0.00497773	107.405
4	0.3048	39.6	0.00579636	123.543
4	0.3048	39.6	0.00579636	126.843
4	0.3048	39.6	0.00579636	128.633
4	0.3048	39.6	0.00579636	130.173
4	0.3048	39.6	0.00579636	131.073
4	0.3048	39.6	0.00579636	130.723
4	0.3048	39.6	0.00579636	128.723
4	0.3048	39.6	0.00579636	126.343
4	0.3048	39.6	0.00579636	123.213
4	0.3048	39.6	0.00579636	120.963
4	0.3048	39.6	0.00579636	120.233
4	0.3048	39.6	0.00579636	118.743
4	0.3048	39.6	0.00579636	115.863
4	0.3048	39.6	0.00579636	113.733
0	0.2286	71.3	0.00214345	128.144
0	0.2286	71.3	0.00214345	129.134
0	0.2286	71.3	0.00214345	128.244
0	0.2286	71.3	0.00214345	128.354
0	0.2286	71.3	0.00214345	127.834
0	0.2286	71.3	0.00214345	125.824
0	0.2286	71.3	0.00214345	124.304
0	0.2286	71.3	0.00214345	122.044
0	0.2286	71.3	0.00214345	118.024
0	0.2286	71.3	0.00214345	118.134
0	0.2286	71.3	0.00214345	117.624
0	0.2286	71.3	0.00214345	114.984
0	0.2286	71.3	0.00214345	114.474
0	0.2286	55.5	0.00229336	119.54
0	0.2286	55.5	0.00229336	121.66
0	0.2286	55.5	0.00229336	123.78
0	0.2286	55.5	0.00229336	126.16
0	0.2286	55.5	0.00229336	127.53
0	0.2286	55.5	0.00229336	128.29
0	0.2286	55.5	0.00229336	127.91
0	0.2286	55.5	0.00229336	126.79
0	0.2286	55.5	0.00229336	126.54
0	0.2286	55.5	0.00229336	126.54
0	0.2286	55.5	0.00229336	125.16
0	0.2286	55.5	0.00229336	123.41
0	0.2286	55.5	0.00229336	122.41
0	0.2286	55.5	0.00229336	118.41
0	0.2286	39.6	0.00253511	121.055
0	0.2286	39.6	0.00253511	123.565
0	0.2286	39.6	0.00253511	126.195
0	0.2286	39.6	0.00253511	128.705
0	0.2286	39.6	0.00253511	130.205
0	0.2286	39.6	0.00253511	130.435
0	0.2286	39.6	0.00253511	129.395
0	0.2286	39.6	0.00253511	127.095
0	0.2286	39.6	0.00253511	125.305
0	0.2286	39.6	0.00253511	125.025
0	0.2286	39.6	0.00253511	124.625
0	0.2286	39.6	0.00253511	123.465
0	0.2286	39.6	0.00253511	122.175
0	0.2286	39.6	0.00253511	117.465
0	0.2286	31.7	0.0027238	120.595
0	0.2286	31.7	0.0027238	123.635
0	0.2286	31.7	0.0027238	126.675
0	0.2286	31.7	0.0027238	129.465
0	0.2286	31.7	0.0027238	130.725
0	0.2286	31.7	0.0027238	130.595
0	0.2286	31.7	0.0027238	128.805
0	0.2286	31.7	0.0027238	125.625
0	0.2286	31.7	0.0027238	123.455
0	0.2286	31.7	0.0027238	123.445
0	0.2286	31.7	0.0027238	123.445
0	0.2286	31.7	0.0027238	122.035
0	0.2286	31.7	0.0027238	120.505
0	0.2286	31.7	0.0027238	116.815
2	0.2286	71.3	0.00293031	125.116
2	0.2286	71.3	0.00293031	126.486
2	0.2286	71.3	0.00293031	127.356
2	0.2286	71.3	0.00293031	128.216
2	0.2286	71.3	0.00293031	128.956
2	0.2286	71.3	0.00293031	128.816
2	0.2286	71.3	0.00293031	127.796
2	0.2286	71.3	0.00293031	126.896
2	0.2286	71.3	0.00293031	127.006
2	0.2286	71.3	0.00293031	126.116
2	0.2286	71.3	0.00293031	124.086
2	0.2286	71.3	0.00293031	122.816
2	0.2286	71.3	0.00293031	120.786
2	0.2286	71.3	0.00293031	115.996
2	0.2286	71.3	0.00293031	113.086
2	0.2286	55.5	0.00313525	122.292
2	0.2286	55.5	0.00313525	124.692
2	0.2286	55.5	0.00313525	126.842
2	0.2286	55.5	0.00313525	128.492
2	0.2286	55.5	0.00313525	129.002
2	0.2286	55.5	0.00313525	128.762
2	0.2286	55.5	0.00313525	126.752
2	0.2286	55.5	0.00313525	124.612
2	0.2286	55.5	0.00313525	123.862
2	0.2286	55.5	0.00313525	123.742
2	0.2286	55.5	0.00313525	122.232
2	0.2286	55.5	0.00313525	120.472
2	0.2286	55.5	0.00313525	118.712
2	0.2286	39.6	0.00346574	120.137
2	0.2286	39.6	0.00346574	122.147
2	0.2286	39.6	0.00346574	125.157
2	0.2286	39.6	0.00346574	127.417
2	0.2286	39.6	0.00346574	129.037
2	0.2286	39.6	0.00346574	129.147
2	0.2286	39.6	0.00346574	128.257
2	0.2286	39.6	0.00346574	125.837
2	0.2286	39.6	0.00346574	122.797
2	0.2286	39.6	0.00346574	121.397
2	0.2286	39.6	0.00346574	121.627
2	0.2286	39.6	0.00346574	120.227
2	0.2286	39.6	0.00346574	118.827
2	0.2286	39.6	0.00346574	116.417
2	0.2286	31.7	0.00372371	120.147
2	0.2286	31.7	0.00372371	123.417
2	0.2286	31.7	0.00372371	126.677
2	0.2286	31.7	0.00372371	129.057
2	0.2286	31.7	0.00372371	130.307
2	0.2286	31.7	0.00372371	130.307
2	0.2286	31.7	0.00372371	128.677
2	0.2286	31.7	0.00372371	125.797
2	0.2286	31.7	0.00372371	123.037
2	0.2286	31.7	0.00372371	121.407
2	0.2286	31.7	0.00372371	121.527
2	0.2286	31.7	0.00372371	120.527
2	0.2286	31.7	0.00372371	118.267
2	0.2286	31.7	0.00372371	115.137
4	0.2286	71.3	0.00400603	126.758
4	0.2286	71.3	0.00400603	129.038
4	0.2286	71.3	0.00400603	130.688
4	0.2286	71.3	0.00400603	131.708
4	0.2286	71.3	0.00400603	131.718
4	0.2286	71.3	0.00400603	129.468
4	0.2286	71.3	0.00400603	126.218
4	0.2286	71.3	0.00400603	124.338
4	0.2286	71.3	0.00400603	124.108
4	0.2286	71.3	0.00400603	121.728
4	0.2286	71.3	0.00400603	121.118
4	0.2286	71.3	0.00400603	118.618
4	0.2286	71.3	0.00400603	112.848
4	0.2286	71.3	0.00400603	113.108
4	0.2286	71.3	0.00400603	114.258
4	0.2286	71.3	0.00400603	112.768
4	0.2286	71.3	0.00400603	109.638
4	0.2286	55.5	0.0042862	123.274
4	0.2286	55.5	0.0042862	127.314
4	0.2286	55.5	0.0042862	129.964
4	0.2286	55.5	0.0042862	131.864
4	0.2286	55.5	0.0042862	132.134
4	0.2286	55.5	0.0042862	131.264
4	0.2286	55.5	0.0042862	128.264
4	0.2286	55.5	0.0042862	124.254
4	0.2286	55.5	0.0042862	122.384
4	0.2286	55.5	0.0042862	122.394
4	0.2286	55.5	0.0042862	120.654
4	0.2286	55.5	0.0042862	120.034
4	0.2286	55.5	0.0042862	117.154
4	0.2286	55.5	0.0042862	112.524
4	0.2286	39.6	0.00473801	122.229
4	0.2286	39.6	0.00473801	123.879
4	0.2286	39.6	0.00473801	127.039
4	0.2286	39.6	0.00473801	129.579
4	0.2286	39.6	0.00473801	130.469
4	0.2286	39.6	0.00473801	129.969
4	0.2286	39.6	0.00473801	128.339
4	0.2286	39.6	0.00473801	125.319
4	0.2286	39.6	0.00473801	121.659
4	0.2286	39.6	0.00473801	119.649
4	0.2286	39.6	0.00473801	120.419
4	0.2286	39.6	0.00473801	119.159
4	0.2286	39.6	0.00473801	117.649
4	0.2286	39.6	0.00473801	114.249
4	0.2286	39.6	0.00473801	113.129
4	0.2286	31.7	0.00509068	120.189
4	0.2286	31.7	0.00509068	123.609
4	0.2286	31.7	0.00509068	126.149
4	0.2286	31.7	0.00509068	128.939
4	0.2286	31.7	0.00509068	130.349
4	0.2286	31.7	0.00509068	130.869
4	0.2286	31.7	0.00509068	129.869
4	0.2286	31.7	0.00509068	128.119
4	0.2286	31.7	0.00509068	125.229
4	0.2286	31.7	0.00509068	122.089
4	0.2286	31.7	0.00509068	120.209
4	0.2286	31.7	0.00509068	120.229
4	0.2286	31.7	0.00509068	118.859
4	0.2286	31.7	0.00509068	115.969
4	0.2286	31.7	0.00509068	112.699
5.3	0.2286	71.3	0.0051942	127.7
5.3	0.2286	71.3	0.0051942	129.88
5.3	0.2286	71.3	0.0051942	131.8
5.3	0.2286	71.3	0.0051942	133.48
5.3	0.2286	71.3	0.0051942	134
5.3	0.2286	71.3	0.0051942	133.38
5.3	0.2286	71.3	0.0051942	130.46
5.3	0.2286	71.3	0.0051942	125.89
5.3	0.2286	71.3	0.0051942	123.74
5.3	0.2286	71.3	0.0051942	123.12
5.3	0.2286	71.3	0.0051942	120.33
5.3	0.2286	71.3	0.0051942	118.05
5.3	0.2286	71.3	0.0051942	116.92
5.3	0.2286	71.3	0.0051942	114.9
5.3	0.2286	71.3	0.0051942	111.35
5.3	0.2286	39.6	0.00614329	127.011
5.3	0.2286	39.6	0.00614329	129.691
5.3	0.2286	39.6	0.00614329	131.221
5.3	0.2286	39.6	0.00614329	132.251
5.3	0.2286	39.6	0.00614329	132.011
5.3	0.2286	39.6	0.00614329	129.491
5.3	0.2286	39.6	0.00614329	125.581
5.3	0.2286	39.6	0.00614329	125.721
5.3	0.2286	39.6	0.00614329	123.081
5.3	0.2286	39.6	0.00614329	117.911
5.3	0.2286	39.6	0.00614329	116.151
5.3	0.2286	39.6	0.00614329	118.441
5.3	0.2286	39.6	0.00614329	115.801
5.3	0.2286	39.6	0.00614329	115.311
5.3	0.2286	39.6	0.00614329	112.541
7.3	0.2286	71.3	0.0104404	138.758
7.3	0.2286	71.3	0.0104404	139.918
7.3	0.2286	71.3	0.0104404	139.808
7.3	0.2286	71.3	0.0104404	139.438
7.3	0.2286	71.3	0.0104404	136.798
7.3	0.2286	71.3	0.0104404	133.768
7.3	0.2286	71.3	0.0104404	130.748
7.3	0.2286	71.3	0.0104404	126.838
7.3	0.2286	71.3	0.0104404	127.358
7.3	0.2286	71.3	0.0104404	125.728
7.3	0.2286	71.3	0.0104404	122.708
7.3	0.2286	71.3	0.0104404	122.088
7.3	0.2286	71.3	0.0104404	120.458
7.3	0.2286	71.3	0.0104404	119.208
7.3	0.2286	71.3	0.0104404	115.298
7.3	0.2286	71.3	0.0104404	115.818
7.3	0.2286	55.5	0.0111706	135.234
7.3	0.2286	55.5	0.0111706	136.384
7.3	0.2286	55.5	0.0111706	136.284
7.3	0.2286	55.5	0.0111706	135.924
7.3	0.2286	55.5	0.0111706	133.174
7.3	0.2286	55.5	0.0111706	130.934
7.3	0.2286	55.5	0.0111706	128.444
7.3	0.2286	55.5	0.0111706	125.194
7.3	0.2286	55.5	0.0111706	125.724
7.3	0.2286	55.5	0.0111706	123.354
7.3	0.2286	55.5	0.0111706	120.354
7.3	0.2286	55.5	0.0111706	118.994
7.3	0.2286	55.5	0.0111706	117.134
7.3	0.2286	55.5	0.0111706	117.284
7.3	0.2286	55.5	0.0111706	113.144
7.3	0.2286	55.5	0.0111706	111.534
7.3	0.2286	39.6	0.0123481	130.989
7.3	0.2286	39.6	0.0123481	131.889
7.3	0.2286	39.6	0.0123481	132.149
7.3	0.2286	39.6	0.0123481	132.039
7.3	0.2286	39.6	0.0123481	130.299
7.3	0.2286	39.6	0.0123481	128.929
7.3	0.2286	39.6	0.0123481	126.299
7.3	0.2286	39.6	0.0123481	122.539
7.3	0.2286	39.6	0.0123481	123.189
7.3	0.2286	39.6	0.0123481	121.059
7.3	0.2286	39.6	0.0123481	117.809
7.3	0.2286	39.6	0.0123481	116.559
7.3	0.2286	39.6	0.0123481	114.309
7.3	0.2286	39.6	0.0123481	114.079
7.3	0.2286	39.6	0.0123481	111.959
7.3	0.2286	39.6	0.0123481	110.839
7.3	0.2286	31.7	0.0132672	128.679
7.3	0.2286	31.7	0.0132672	130.089
7.3	0.2286	31.7	0.0132672	130.239
7.3	0.2286	31.7	0.0132672	130.269
7.3	0.2286	31.7	0.0132672	128.169
7.3	0.2286	31.7	0.0132672	126.189
7.3	0.2286	31.7	0.0132672	123.209
7.3	0.2286	31.7	0.0132672	119.099
7.3	0.2286	31.7	0.0132672	120.509
7.3	0.2286	31.7	0.0132672	119.039
7.3	0.2286	31.7	0.0132672	115.309
7.3	0.2286	31.7	0.0132672	114.709
7.3	0.2286	31.7	0.0132672	113.229
7.3	0.2286	31.7	0.0132672	112.639
7.3	0.2286	31.7	0.0132672	111.029
7.3	0.2286	31.7	0.0132672	110.689
0	0.1524	71.3	0.0015988	125.817
0	0.1524	71.3	0.0015988	127.307
0	0.1524	71.3	0.0015988	128.927
0	0.1524	71.3	0.0015988	129.667
0	0.1524	71.3	0.0015988	128.647
0	0.1524	71.3	0.0015988	128.127
0	0.1524	71.3	0.0015988	129.377
0	0.1524	71.3	0.0015988	128.857
0	0.1524	71.3	0.0015988	126.457
0	0.1524	71.3	0.0015988	125.427
0	0.1524	71.3	0.0015988	122.527
0	0.1524	71.3	0.0015988	120.247
0	0.1524	71.3	0.0015988	117.087
0	0.1524	71.3	0.0015988	113.297
0	0.1524	55.5	0.00172668	120.573
0	0.1524	55.5	0.00172668	123.583
0	0.1524	55.5	0.00172668	126.713
0	0.1524	55.5	0.00172668	128.583
0	0.1524	55.5	0.00172668	129.953
0	0.1524	55.5	0.00172668	130.183
0	0.1524	55.5	0.00172668	129.673
0	0.1524	55.5	0.00172668	127.763
0	0.1524	55.5	0.00172668	127.753
0	0.1524	55.5	0.00172668	127.233
0	0.1524	55.5	0.00172668	125.203
0	0.1524	55.5	0.00172668	123.303
0	0.1524	55.5	0.00172668	121.903
0	0.1524	55.5	0.00172668	119.253
0	0.1524	55.5	0.00172668	117.093
0	0.1524	55.5	0.00172668	112.803
0	0.1524	39.6	0.00193287	119.513
0	0.1524	39.6	0.00193287	124.403
0	0.1524	39.6	0.00193287	127.903
0	0.1524	39.6	0.00193287	130.033
0	0.1524	39.6	0.00193287	131.023
0	0.1524	39.6	0.00193287	131.013
0	0.1524	39.6	0.00193287	129.633
0	0.1524	39.6	0.00193287	126.863
0	0.1524	39.6	0.00193287	125.603
0	0.1524	39.6	0.00193287	125.343
0	0.1524	39.6	0.00193287	123.453
0	0.1524	39.6	0.00193287	121.313
0	0.1524	39.6	0.00193287	120.553
0	0.1524	39.6	0.00193287	115.413
0	0.1524	31.7	0.00209405	121.617
0	0.1524	31.7	0.00209405	125.997
0	0.1524	31.7	0.00209405	129.117
0	0.1524	31.7	0.00209405	130.987
0	0.1524	31.7	0.00209405	131.467
0	0.1524	31.7	0.00209405	130.817
0	0.1524	31.7	0.00209405	128.907
0	0.1524	31.7	0.00209405	125.867
0	0.1524	31.7	0.00209405	124.207
0	0.1524	31.7	0.00209405	123.807
0	0.1524	31.7	0.00209405	122.397
0	0.1524	31.7	0.00209405	119.737
0	0.1524	31.7	0.00209405	117.957
2.7	0.1524	71.3	0.00243851	127.404
2.7	0.1524	71.3	0.00243851	127.394
